Data,Temp_Med,VPD,Delta_T,Manejo_Realizado
27/01/2026,21.77,0.6,2.9,"Caderno de Campo
Teste de sistema: Configuração final concluída"
27/01/2026,21.77,0.6,2.9,Nenhum manejo registrado hoje.
27/01/2026,21.77,0.6,2.9,Nenhum manejo registrado hoje.
27/01/2026,18.06,0.12,0.7,Chuva ao final da tarde com muito volume de água não houve possibilidades para fazer a fertirrigação. O sistema não preveu a chuva
27/01/2026,0.12,0.7,Nenhum manejo registrado hoje.,"👨‍🔬 PARECER TÉCNICO DO ENGENHEIRO AGRÔNOMO: As condições climáticas atuais favorecem a absorção nutricional. Com a cultura aos 63 dias, a prioridade é a manutenção da arquitetura radicular e sanidade das folhas baixeiras."
27/01/2026,17.93,0.12,0.7,1.3,Nenhum manejo registrado pelo usuário hoje.,"👨‍🔬 PARECER TÉCNICO ESTRATÉGICO: | As condições termo-hídricas estão ideais para a atividade metabólica. O momento é oportuno para bioestimulantes e nutrição foliar. Aos 63 dias, a cultura demanda estabilidade para consolidar a estrutura produtiva."
27/01/2026,17.5,0.08,Nenhum manejo registrado hoje.,👨‍🔬 **PARECER TÉCNICO:** Janela fisiológica excelente. Otimizar fertirrigação para ganho de calibre de fruto. Cultura com 63 dias: Monitorar vigor vegetativo vs. reprodutivo.
27/01/2026,17.5,0.08,Nenhum manejo registrado hoje.,"👨‍🔬 **PARECER TÉCNICO CONCLUSIVO:** As condições fisiológicas estão ótimas. A planta está receptiva a bioestimulantes e carga de frutificação. Aos 63 dias, o foco é equilibrar a relação Fonte (Folha) x Dreno (Fruto)."
27/01/2026,18.65,0.13,Nenhum manejo registrado hoje.,✅ Operação nominal (Modo Offline).
27/01/2026,18.65,0.13,Nenhum manejo registrado hoje.,Operação nominal. As condições climáticas regem o manejo preventivo hoje.
